,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
5,Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4.0,Bagel Shop,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
7,Bronx,Woodlawn,40.89827261213805,-73.86731496814176,3.0,Deli / Bodega,Indian Restaurant,Pizza Place,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
8,Bronx,Norwood,40.87722415599446,-73.8793907395681,4.0,Mexican Restaurant,Wings Joint,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Stand
12,Bronx,City Island,40.84724670491813,-73.78648845267413,4.0,Deli / Bodega,Pizza Place,French Restaurant,Diner,Food,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
16,Bronx,Fordham,40.86099679638654,-73.89642655981623,3.0,Deli / Bodega,Restaurant,Fast Food Restaurant,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
17,Bronx,East Tremont,40.84269615786053,-73.88735617532338,4.0,Pizza Place,Café,Food,Wings Joint,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
18,Bronx,West Farms,40.83947505672653,-73.87774474910545,4.0,Diner,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Wings Joint
19,Bronx,High  Bridge,40.836623010706056,-73.9261020935813,4.0,Asian Restaurant,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
26,Bronx,Soundview,40.821012197914015,-73.86574609554924,1.0,Chinese Restaurant,Pizza Place,Wings Joint,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
31,Bronx,Westchester Square,40.8406194964327,-73.84219407604444,4.0,Restaurant,American Restaurant,Fried Chicken Joint,Latin American Restaurant,Fast Food Restaurant,Pizza Place,Donut Shop,Deli / Bodega,Asian Restaurant,Bistro
36,Bronx,North Riverdale,40.90854282950666,-73.90453054908927,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
40,Bronx,Castle Hill,40.819014376988314,-73.84802729582735,4.0,Diner,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Wings Joint
41,Bronx,Olinville,40.87137078192371,-73.86332361652777,1.0,Chinese Restaurant,Caribbean Restaurant,Bakery,Food,Wings Joint,Food Court,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
43,Bronx,Concourse,40.83428380733851,-73.91558941773444,1.0,Chinese Restaurant,Pizza Place,Wings Joint,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
44,Bronx,Unionport,40.82977429787161,-73.85053524451935,2.0,Pizza Place,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
46,Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,4.0,Chinese Restaurant,Deli / Bodega,Mediterranean Restaurant,Sushi Restaurant,Greek Restaurant,Caucasian Restaurant,Café,Souvlaki Shop,Spanish Restaurant,Thai Restaurant
48,Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,4.0,Café,Deli / Bodega,Pizza Place,Fried Chicken Joint,Bagel Shop,Latin American Restaurant,Mexican Restaurant,Wings Joint,Fast Food Restaurant,Filipino Restaurant
49,Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,4.0,Polish Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Thai Restaurant,Gastropub,Fried Chicken Joint,Italian Restaurant,Bagel Shop,Bakery,French Restaurant
51,Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,4.0,Restaurant,Diner,Varenyky restaurant,Bakery,Sushi Restaurant,Food,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant
55,Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,3.0,Deli / Bodega,Fried Chicken Joint,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
56,Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,3.0,Deli / Bodega,Bakery,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
57,Brooklyn,Kensington,40.642381958003526,-73.98042110559474,4.0,Mexican Restaurant,Food Truck,Restaurant,Sandwich Place,Bakery,Diner,Wings Joint,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant
58,Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
59,Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269,3.0,Deli / Bodega,Mexican Restaurant,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Stand
60,Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,1.0,Burger Joint,Chinese Restaurant,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
61,Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,2.0,Seafood Restaurant,Pizza Place,Wings Joint,Deli / Bodega,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
62,Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,4.0,Deli / Bodega,Mediterranean Restaurant,Pizza Place,Burger Joint,Gastropub,Fried Chicken Joint,French Restaurant,Food Truck,Food Stand,German Restaurant
65,Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463,1.0,Chinese Restaurant,Argentinian Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
66,Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,4.0,Deli / Bodega,Food Truck,Bagel Shop,Chinese Restaurant,Café,Restaurant,Greek Restaurant,Gastropub,Fried Chicken Joint,French Restaurant
67,Brooklyn,Red Hook,40.676253230250886,-74.0127589747356,4.0,Bakery,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
70,Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,4.0,Pizza Place,Mexican Restaurant,Italian Restaurant,Japanese Restaurant,Falafel Restaurant,Fast Food Restaurant,Chinese Restaurant,Sushi Restaurant,Deli / Bodega,Bakery
71,Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296,2.0,Pizza Place,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
72,Brooklyn,East New York,40.669925700847045,-73.88069863917366,3.0,Deli / Bodega,Food Truck,Food,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
75,Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,4.0,Seafood Restaurant,Wings Joint,Deli / Bodega,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
78,Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
79,Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,4.0,Restaurant,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
83,Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,3.0,Deli / Bodega,Chinese Restaurant,Pizza Place,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
84,Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,4.0,Italian Restaurant,Thai Restaurant,Deli / Bodega,Chinese Restaurant,Restaurant,Southern / Soul Food Restaurant,Spanish Restaurant,Burger Joint,Indian Restaurant,Food Truck
86,Brooklyn,Downtown,40.69084402109802,-73.98346337431099,4.0,American Restaurant,Burger Joint,Café,Food Court,Hawaiian Restaurant,Hot Dog Joint,Italian Restaurant,Japanese Restaurant,Falafel Restaurant,Dumpling Restaurant
89,Brooklyn,Ocean Hill,40.678402554795355,-73.91306831787395,4.0,Fried Chicken Joint,Wings Joint,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
90,Brooklyn,City Line,40.67856995727479,-73.86797598081334,1.0,Chinese Restaurant,Pizza Place,Fast Food Restaurant,Food Truck,Wings Joint,Food,Dumpling Restaurant,Falafel Restaurant,Filipino Restaurant,Fish & Chips Shop
95,Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,3.0,Deli / Bodega,Bagel Shop,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
