,Neighborhood,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
3,Buena Vista,37.8065321,-122.4206485,1.0,Sushi Restaurant,Wings Joint,Creperie,French Restaurant,Food Truck,Food,Ethiopian Restaurant,Empanada Restaurant,Donut Shop,Diner
5,Chinatown,37.7943011,-122.4063757,2.0,Chinese Restaurant,Vietnamese Restaurant,Bakery,Cuban Restaurant,German Restaurant,French Restaurant,Food Truck,Food,Ethiopian Restaurant,Empanada Restaurant
6,Civic Center,37.7790262,-122.4199061,3.0,Café,Wings Joint,Creperie,French Restaurant,Food Truck,Food,Ethiopian Restaurant,Empanada Restaurant,Donut Shop,Diner
7,Cole Valley,37.7658133,-122.4499624,2.0,Breakfast Spot,Sushi Restaurant,Italian Restaurant,Restaurant,Café,Mexican Restaurant,Middle Eastern Restaurant,Wings Joint,Cuban Restaurant,Food
8,Cow Hollow,37.7972616,-122.4362477,2.0,American Restaurant,Sandwich Place,Italian Restaurant,French Restaurant,Thai Restaurant,BBQ Joint,Cuban Restaurant,Food Truck,Food,Ethiopian Restaurant
11,Dogpatch,37.7606977,-122.3892016,4.0,Creperie,Food Truck,Sandwich Place,Wings Joint,French Restaurant,Food,Ethiopian Restaurant,Empanada Restaurant,Donut Shop,Diner
12,Duboce Triangle,37.7671382,-122.43223,1.0,Sushi Restaurant,Wings Joint,Creperie,French Restaurant,Food Truck,Food,Ethiopian Restaurant,Empanada Restaurant,Donut Shop,Diner
14,Financial District,37.7936467,-122.3989378,2.0,Sandwich Place,Italian Restaurant,American Restaurant,Food Truck,Japanese Restaurant,Deli / Bodega,Café,German Restaurant,Seafood Restaurant,Breakfast Spot
15,Folsom,37.7904517,-122.3895673,4.0,Food Truck,Steakhouse,Seafood Restaurant,Wings Joint,Chinese Restaurant,Food,Ethiopian Restaurant,Empanada Restaurant,Donut Shop,Diner
17,Glen Park,37.734281,-122.4344696,2.0,Pizza Place,Sushi Restaurant,Italian Restaurant,Breakfast Spot,Café,Mexican Restaurant,Chinese Restaurant,Cuban Restaurant,Food,Ethiopian Restaurant
19,Hayes Valley,37.7766853,-122.4229361,2.0,Restaurant,French Restaurant,Food Truck,Thai Restaurant,Sushi Restaurant,Pizza Place,Mexican Restaurant,Creperie,Food,Ethiopian Restaurant
