Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Buena Vista,37.8065321,-122.4206485,Grandeho's Kamekyo II (Sushi),37.80617174140213,-122.4204608926963,Sushi Restaurant
Chinatown,37.7943011,-122.4063757,Mister Jiu's,37.79379008659567,-122.40661544924471,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Eastern Bakery,37.793775834734205,-122.40617835941858,Bakery
Chinatown,37.7943011,-122.4063757,Golden Star Vietnamese Restaurant,37.79452637823364,-122.40560257441966,Vietnamese Restaurant
Chinatown,37.7943011,-122.4063757,Spicy King,37.7940454,-122.4069683,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Chef Hung's Restaurant,37.794198657153835,-122.40669210335807,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Capital Restaurant,37.79414547859496,-122.40712128481466,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Bow Hon Restaurant,37.79502584545296,-122.40644502829446,Chinese Restaurant
Civic Center,37.7790262,-122.4199061,City Hall Cafe,37.778828091557855,-122.4197795857948,Café
Cole Valley,37.7658133,-122.4499624,Beit Rima Carl Street,37.765841,-122.449755,Middle Eastern Restaurant
Cole Valley,37.7658133,-122.4499624,Zazie,37.765281744910254,-122.44991947702094,Breakfast Spot
Cole Valley,37.7658133,-122.4499624,Padrecito,37.76574435901804,-122.45006486882085,Mexican Restaurant
Cole Valley,37.7658133,-122.4499624,Kezar Bar & Restaurant,37.765750942468216,-122.44990877866329,Restaurant
Cole Valley,37.7658133,-122.4499624,Cafe Reverie,37.766068947544746,-122.44990942946839,Café
Cole Valley,37.7658133,-122.4499624,Crepes on Cole,37.76585766840731,-122.45003748215117,Breakfast Spot
Cole Valley,37.7658133,-122.4499624,Bambino's Ristorante,37.765211388303435,-122.44996935421577,Italian Restaurant
Cole Valley,37.7658133,-122.4499624,Grandeho's Kamekyo,37.76524152219527,-122.44997759160609,Sushi Restaurant
Cow Hollow,37.7972616,-122.4362477,Marina Submarine,37.79693499489624,-122.43709528202423,Sandwich Place
Cow Hollow,37.7972616,-122.4362477,Gamine,37.797048104552175,-122.4359348443235,French Restaurant
Cow Hollow,37.7972616,-122.4362477,Terzo,37.79709262453753,-122.43723592097093,Italian Restaurant
Cow Hollow,37.7972616,-122.4362477,Rooster & Rice,37.797879,-122.435932,Thai Restaurant
Cow Hollow,37.7972616,-122.4362477,Joe's American,37.79724884033203,-122.4351577758789,American Restaurant
Dogpatch,37.7606977,-122.3892016,Wooly Pig,37.760605994540654,-122.38844480831085,Sandwich Place
Dogpatch,37.7606977,-122.3892016,Hu Tong Jian Bing,37.760589599609375,-122.38812255859375,Creperie
Dogpatch,37.7606977,-122.3892016,TomKatSF,37.760900017078,-122.38869872985886,Food Truck
Duboce Triangle,37.7671382,-122.43223,AMASIA Hide’s Sushi bar,37.766769,-122.433201,Sushi Restaurant
Financial District,37.7936467,-122.3989378,Homegrown,37.793617,-122.4,Sandwich Place
Financial District,37.7936467,-122.3989378,Tadich Grill,37.793185959993274,-122.3992153997843,Seafood Restaurant
Financial District,37.7936467,-122.3989378,Michael Mina,37.7934609,-122.3996416,American Restaurant
Financial District,37.7936467,-122.3989378,Perbacco,37.79328790074778,-122.39913383967941,Italian Restaurant
